contrast_name,annotation,Test description,Reference description,Experiment_id,Data source,Platform
GSM28093.ch1-vs-GSM28093.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_THIOLACTOMYCIN:200ug/ml,test_GSE1642_TLM0.2,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28094.ch1-vs-GSM28094.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:150ug/ml,test_GSE1642_TRIC0.15,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28096.ch1-vs-GSM28096.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CAPREOMYCIN:10ug/ml,test_GSE1642_CAPREO10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28097.ch1-vs-GSM28097.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CAPREOMYCIN:10ug/ml,test_GSE1642_CAPREO10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28099.ch1-vs-GSM28099.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_LEVOFLOXACIN:10ug/ml,test_GSE1642_LEVO10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28101.ch1-vs-GSM28101.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_RIFAPENTINE:0.5ug/ml,test_GSE1642_RIFP0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28100.ch1-vs-GSM28100.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_RIFAPENTINE:0.5ug/ml,test_GSE1642_RIFP0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28098.ch1-vs-GSM28098.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_LEVOFLOXACIN:10ug/ml,test_GSE1642_LEVO10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28102.ch1-vs-GSM28102.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ROXITHROMYCIN:50ug/ml,test_GSE1642_ROXI50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28104.ch1-vs-GSM28104.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:100ug/ml,test_GSE1642_TRIC0.1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28105.ch1-vs-GSM28105.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:100ug/ml,test_GSE1642_TRIC0.1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28103.ch1-vs-GSM28103.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ROXITHROMYCIN:50ug/ml,test_GSE1642_ROXI50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28106.ch1-vs-GSM28106.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CAPREOMYCIN:5ug/ml,test_GSE1642_CAPREO5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28107.ch1-vs-GSM28107.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CAPREOMYCIN:5ug/ml,test_GSE1642_CAPREO5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28108.ch1-vs-GSM28108.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CERULENIN:0.32ug/ml,test_GSE1642_CERU0.32,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28109.ch1-vs-GSM28109.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CERULENIN:0.32ug/ml,test_GSE1642_CERU0.32,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28112.ch1-vs-GSM28112.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CERULENIN:0.5ug/ml,test_GSE1642_CERU0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28111.ch1-vs-GSM28111.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ROXITHROMYCIN:30ug/ml,test_GSE1642_ROXI30,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28113.ch1-vs-GSM28113.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CERULENIN:0.5ug/ml,test_GSE1642_CERU0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28110.ch1-vs-GSM28110.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ROXITHROMYCIN:30ug/ml,test_GSE1642_ROXI30,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28114.ch1-vs-GSM28114.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CHLORPROMAZINE:10ug/ml,test_GSE1642_CHLOR10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28116.ch1-vs-GSM28116.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CHLORPROMAZINE:60ug/ml,test_GSE1642_CHLOR60,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28115.ch1-vs-GSM28115.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CHLORPROMAZINE:10ug/ml,test_GSE1642_CHLOR10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28120.ch1-vs-GSM28120.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ECONAZOLE:10ug/ml,test_GSE1642_ECO10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28119.ch1-vs-GSM28119.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ECONAZOLE:10ug/ml,test_GSE1642_ECO10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28117.ch1-vs-GSM28117.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CLOTRIMAZOLE:10ug/ml,test_GSE1642_CLOTRI10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28118.ch1-vs-GSM28118.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CLOTRIMAZOLE:10ug/ml,test_GSE1642_CLOTRI10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28121.ch1-vs-GSM28121.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_RIFAPENTINE:0.1ug/ml,test_GSE1642_RIFP0.1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28125.ch1-vs-GSM28125.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CEPHALEXIN:20ug/ml,test_GSE1642_CEPHA20,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28124.ch1-vs-GSM28124.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ROXITHROMYCIN:10ug/ml,test_GSE1642_ROXI10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28126.ch1-vs-GSM28126.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CEPHALEXIN:20ug/ml,test_GSE1642_CEPHA20,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28122.ch1-vs-GSM28122.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_RIFAPENTINE:0.1ug/ml,test_GSE1642_RIFP0.1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28123.ch1-vs-GSM28123.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ROXITHROMYCIN:10ug/ml,test_GSE1642_ROXI10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28131.ch1-vs-GSM28131.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:100ug/ml,test_GSE1642_TRICLO100,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28127.ch1-vs-GSM28127.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CEPHALEXIN:100ug/ml,test_GSE1642_CEPHA100,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28130.ch1-vs-GSM28130.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:50ug/ml,test_GSE1642_TRICLO50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28128.ch1-vs-GSM28128.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CEPHALEXIN:100ug/ml,test_GSE1642_CEPHA100,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28132.ch1-vs-GSM28132.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:100ug/ml,test_GSE1642_TRICLO100,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28129.ch1-vs-GSM28129.ch2,MEDIUM.7H9:1_ETHANOL:0.2vol%_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_TRICLOSAN:50ug/ml,test_GSE1642_TRICLO50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28133.ch1-vs-GSM28133.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CHLORPROMAZINE:10ug/ml,test_GSE1642_CHLOR10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28138.ch1-vs-GSM28138.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#111891:0.5ug/ml,test_GSE1642_111891-0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28134.ch1-vs-GSM28134.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_CHLORPROMAZINE:10ug/ml,test_GSE1642_CHLOR10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28137.ch1-vs-GSM28137.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#121940:0.5ug/ml,test_GSE1642_121940-0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28135.ch1-vs-GSM28135.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.SAUTON:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6776:20ug/ml,test_GSE1642_PROC6776-20,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28136.ch1-vs-GSM28136.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#121940:0.5ug/ml,test_GSE1642_121940-0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28139.ch1-vs-GSM28139.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#111891:0.5ug/ml,test_GSE1642_111891-0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28140.ch1-vs-GSM28140.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ASCIDIDEMIN:0.5ug/ml,test_GSE1642_ASCI0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28142.ch1-vs-GSM28142.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_MEDIUM.SAUTON:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6776:30ug/ml,test_GSE1642_PROC6776-30,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28141.ch1-vs-GSM28141.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_MEDIUM.SAUTON:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6776:30ug/ml,test_GSE1642_PROC6776-30,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28143.ch1-vs-GSM28143.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6778:5ug/ml,test_GSE1642_PROC6778-5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28144.ch1-vs-GSM28144.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6778:5ug/ml,test_GSE1642_PROC6778-5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28146.ch1-vs-GSM28146.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ASCIDIDEMIN:0.5ug/ml,test_GSE1642_ASCI0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28145.ch1-vs-GSM28145.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6778:20ug/ml,test_GSE1642_PROC6778-20,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28147.ch1-vs-GSM28147.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#124196:0.5ug/ml,test_GSE1642_124196-0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28149.ch1-vs-GSM28149.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#121940:2ug/ml,test_GSE1642_121940-2,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28148.ch1-vs-GSM28148.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PYRIDOACRIDINE#124196:0.5ug/ml,test_GSE1642_124196-0.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28150.ch1-vs-GSM28150.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_DIPYRIDYL:200uM,test_GSE1642_DIPYRIDYL200,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28151.ch1-vs-GSM28151.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ANTIMYCIN:12.5ug/ml,test_GSE1642_ANTI12.5,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28152.ch1-vs-GSM28152.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ANTIMYCIN:25ug/ml,test_GSE1642_ANTI25,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28155.ch1-vs-GSM28155.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6776:20ug/ml,test_GSE1642_PROC6776-20,ref_GSE1642,GSE1642,GEO,GPL1396
GSM28154.ch1-vs-GSM28154.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6776:20ug/ml,test_GSE1642_PROC6776-20,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28156.ch1-vs-GSM28156.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6778:40ug/ml,test_GSE1642_PROC6778-40,ref_GSE1642,GSE1642,GEO,GPL1396
GSM28153.ch1-vs-GSM28153.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_MEDIUM.SAUTON:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6776:20ug/ml,test_GSE1642_PROC6776-20,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28159.ch1-vs-GSM28159.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ASCIDIDEMIN:2ug/ml,test_GSE1642_ASCI2,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28157.ch1-vs-GSM28157.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PROCEPT6778:40ug/ml,test_GSE1642_PROC6778-40,ref_GSE1642,GSE1642,GEO,GPL1396
GSM28160.ch1-vs-GSM28160.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ASCIDIDEMIN:9ug/ml,test_GSE1642_ASCI9,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28162.ch1-vs-GSM28162.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ANTIMYCIN:50ug/ml,test_GSE1642_ANTI50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28158.ch1-vs-GSM28158.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ASCIDIDEMIN:2ug/ml,test_GSE1642_ASCI2,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28161.ch1-vs-GSM28161.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ANTIMYCIN:50ug/ml,test_GSE1642_ANTI50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28165.ch1-vs-GSM28165.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PA21:10ug/ml,test_GSE1642_PA21-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28164.ch1-vs-GSM28164.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PA1:10ug/ml,test_GSE1642_PA1-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28166.ch1-vs-GSM28166.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA21:10ug/ml,test_GSE1642_PA21-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28163.ch1-vs-GSM28163.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA1:10ug/ml,test_GSE1642_PA1-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28168.ch1-vs-GSM28168.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_TRICLOSAN:10ug/ml,test_GSE1642_TRIC10,ref_GSE1642,GSE1642,GEO,GPL1396
GSM28167.ch1-vs-GSM28167.ch2,MEDIUM.7H9:1_DMSO:100uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_TRICLOSAN:10ug/ml,test_GSE1642_TRIC10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28170.ch1-vs-GSM28170.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_POLYSORBATE80:0.05%_TIME:360min_MEDIUM.TBS:+1,test_GSE1642_TBS_TWEEN80-0.05_6h,ref_GSE1642_7H9_0h,GSE1642,GEO,GPL1396
GSM28173.ch1-vs-GSM28173.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA1:10ug/ml,test_GSE1642_PA1-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28169.ch1-vs-GSM28169.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_POLYSORBATE80:0.05%_TIME:360min_MEDIUM.TBS:+1,test_GSE1642_TBS_TWEEN80-0.05_6h,ref_GSE1642_7H9_0h,GSE1642,GEO,GPL1396
GSM28174.ch1-vs-GSM28174.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_PA21:50ug/ml,test_GSE1642_PA21-50,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28197.ch1-vs-GSM28197.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ASCIDIDEMIN:2ug/ml,test_GSE1642_ASCI2,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28190.ch1-vs-GSM28190.ch2,MEDIUM.7H9:1_DMSO:13uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ASCIDIDEMIN:1ug/ml,test_GSE1642_ASCI1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28185.ch1-vs-GSM28185.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_DIPYRIDYL:100uM,test_GSE1642_DIPYRIDYL100,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28204.ch1-vs-GSM28204.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#109:1ug/ml,test_GSE1642_DIAMINE109-1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28203.ch1-vs-GSM28203.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_ASCIDIDEMIN:4ug/ml,test_GSE1642_ASCI4,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28205.ch1-vs-GSM28205.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#109:10ug/ml,test_GSE1642_DIAMINE109-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28171.ch2-vs-GSM28171.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_TIME:360min,test_GSE1642_6h,ref_GSE1642_0h,GSE1642,GEO,GPL1396
GSM28172.ch2-vs-GSM28172.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_TEMPERATURE:37°C_TIME:360min,test_GSE1642_6h,ref_GSE1642_0h,GSE1642,GEO,GPL1396
GSM28244.ch1-vs-GSM28244.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:0.4ug/ml,test_GSE1642_PA824-0.4,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28246.ch1-vs-GSM28246.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_PA824:2ug/ml,test_GSE1642_PA824-2,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28215.ch1-vs-GSM28215.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ETHAMBUTOL:10ug/ml,test_GSE1642_EMB10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28216.ch1-vs-GSM28216.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_ETHAMBUTOL:10ug/ml,test_GSE1642_EMB10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28211.ch1-vs-GSM28211.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#59:1ug/ml,test_GSE1642_DIAMINE59-1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28214.ch1-vs-GSM28214.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#59:10ug/ml,test_GSE1642_DIAMINE59-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28212.ch1-vs-GSM28212.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#59:1ug/ml,test_GSE1642_DIAMINE59-1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28209.ch1-vs-GSM28209.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#241:1ug/ml,test_GSE1642_DIAMINE241-1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28213.ch1-vs-GSM28213.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#59:10ug/ml,test_GSE1642_DIAMINE59-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28210.ch1-vs-GSM28210.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#241:10ug/ml,test_GSE1642_DIAMINE241-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28206.ch1-vs-GSM28206.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#109:1ug/ml,test_GSE1642_DIAMINE109-1,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28207.ch1-vs-GSM28207.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#109:10ug/ml,test_GSE1642_DIAMINE109-10,ref_GSE1642_,GSE1642,GEO,GPL1396
GSM28208.ch1-vs-GSM28208.ch2,MEDIUM.7H9:1_DMSO:50uL_STRAIN.H37Rv:1_TEMPERATURE:37°C_OD650:0.3_DIAMINE#241:1ug/ml,test_GSE1642_DIAMINE241-1,ref_GSE1642_,GSE1642,GEO,GPL1396
